USER,2022-08_ALLOCATIONS,2022-08_CURTAILMENT,2022-08_DEMAND,2022-08_SHORTAGE_%,BASIN,PRIORITY
A003633,0.0,1,0.0002022,100.0,R_17_M,8.0
A010795,12.9468,0,38.23333333,66.13740191509481,R_18_M,9.0
A010976,0.0,1,0.0002022,100.0,R_18_M,10.0
A012452,0.0,1,0.133333333,100.0,R_18_M,11.0
A013062,0.0,1,0.0002022,100.0,R_17_M,12.0
A013076,0.0,1,0.0002022,100.0,R_18_M,13.0
A013097,0.0,1,0.0002022,100.0,R_17_M,14.0
A013098,0.0,1,3.333333333,100.0,R_17_M,15.0
A013105,0.0,1,0.0002022,100.0,R_18_M,16.0
A013135,0.0,1,0.52,100.0,R_17_M,17.0
A013151,0.0,1,0.0002022,100.0,R_17_M,18.0
A013261,0.0,1,0.313333333,100.0,R_18_M,19.0
A013267,0.0,1,14.1,100.0,R_17_M,21.0
A013268,0.0,1,0.0002022,100.0,R_17_M,20.0
A013317,0.0,1,13.0,100.0,R_21_M,22.0
A013384,0.0,1,1.173333333,100.0,R_18_M,23.0
A013453,0.0,1,10.7,100.0,R_17_M,24.0
A013684A,0.0,1,0.0002022,100.0,R_18_M,26.0
A013684B,0.0,1,0.8633333329999999,100.0,R_17_M,25.0
A014050A,0.0,1,0.0002022,100.0,R_17_M,28.0
A014050B,0.0,1,0.03,100.0,R_17_M,27.0
A014061,0.0,1,2.8092666669999997,100.0,R_17_M,29.0
A014178,0.0,1,0.0002022,100.0,R_18_M,30.0
A014208,0.0,1,0.0002022,100.0,R_17_M,31.0
A014333,0.0,1,25.0,100.0,R_17_M,32.0
A014604,0.0,1,0.066666667,100.0,R_18_M,33.0
A014747,0.0,1,0.666666667,100.0,R_17_M,34.0
A014762,0.0,1,0.0002022,100.0,R_17_M,35.0
A014925,0.0,1,4.566666667,100.0,R_17_M,36.0
A014942,0.0,1,0.0002022,100.0,R_17_M,37.0
A015736,0.0,1,266.3333333,100.0,R_18_M,9999.0
A015737,0.0,1,0.0002022,100.0,R_18_M,9998.0
A016440,0.0,1,0.0002022,100.0,R_17_M,40.0
A016457,0.0,1,0.0002022,100.0,R_17_M,41.0
A019470,0.0,1,0.357750489,100.0,R_21_M,42.0
A021660,0.0,1,2.381164,100.0,R_17_M,43.0
A022348,0.0,1,0.0002022,100.0,R_21_M,44.0
A022608,0.0,1,0.0002022,100.0,R_17_M,45.0
A023639,0.0,1,0.0002022,100.0,R_17_M,46.0
A023655,0.0,1,0.0002022,100.0,R_17_M,47.0
A024268A,0.0,1,16.1,100.0,R_17_M,50.0
A024268B,0.0,1,0.0002022,100.0,R_17_M,51.0
A024270A,0.0,1,0.0002022,100.0,R_17_M,48.0
A024270B,0.0,1,0.0002022,100.0,R_17_M,49.0
A024762A,0.0,1,0.01,100.0,R_17_M,53.0
A024762B,0.0,1,0.0002022,100.0,R_17_M,52.0
A024865A01,0.0,1,0.0002022,100.0,R_18_M,54.0
A024865A02,0.0,1,0.193333333,100.0,R_18_M,55.0
A024865B,0.0,1,0.0002022,100.0,R_18_M,56.0
A024891,0.0,1,0.0002022,100.0,R_17_M,58.0
A024892A,0.0,1,0.0002022,100.0,R_17_M,57.0
A024892B,0.0,1,0.0002022,100.0,R_17_M,59.0
A024905,0.0,1,0.0002022,100.0,R_17_M,60.0
A024921,0.0,1,0.009309999999999999,100.0,R_21_M,61.0
A024929,0.0,1,76.85666667,100.0,R_21_M,62.0
A024962,0.0,1,0.001534,100.0,R_21_M,63.0
A024963,0.0,1,0.0002022,100.0,R_21_M,64.0
A025010,0.0,1,0.0002022,100.0,R_17_M,65.0
A025012,0.0,1,0.007672,100.0,R_19_M,66.0
A025021,0.0,1,0.017,100.0,R_17_M,67.0
A025301,0.0,1,0.0002022,100.0,R_17_M,68.0
A025363,0.0,1,0.000256,100.0,R_17_M,69.0
A025393A,0.0,1,0.68,100.0,R_17_M,70.0
A025393B,0.0,1,0.0002022,100.0,R_17_M,71.0
A025939,0.0,1,0.0002022,100.0,R_17_M,72.0
A026233,0.0,1,0.5982069999999999,100.0,R_17_M,73.0
A027149,0.0,1,0.0002022,100.0,R_17_M,74.0
A027362,0.0,1,0.0002022,100.0,R_18_M,75.0
A027478,0.0,1,0.0002022,100.0,R_17_M,76.0
A027479,0.0,1,1.8333333330000001,100.0,R_17_M,77.0
A029397,0.0,1,0.0002022,100.0,R_17_M,78.0
A029405,0.0,1,11.63333333,100.0,R_17_M,79.0
A029462,0.0,1,0.436729,100.0,R_17_M,80.0
A029901,0.0,1,23.66333333,100.0,R_18_M,81.0
A030391,0.0,1,0.0002022,100.0,R_17_M,82.0
A031055,0.0,1,5.028371667,100.0,R_21_M,84.0
A031257,0.0,1,0.6459999999999999,100.0,R_21_M,85.0
A031743,0.0,1,0.0002022,100.0,R_18_M,86.0
D030601,0.0,1,0.134712,100.0,R_17_M,83.0
D032708,0.0,1,0.0002022,100.0,R_18_M,87.0
S009054,23.68,0,23.68,0,R_21_M,7.0
S009055,53.1867,0,53.18666667,0,R_19_M,5.0
S009293,0.0,1,0.0002022,100.0,R_17_M,3.0
S009294,0.0,1,0.0002022,100.0,R_17_M,1.0
S009295,0.0,1,0.0002022,100.0,R_17_M,2.0
S015686,0.0,1,0.4866666670000001,100.0,R_17_M,4.0
S024683,5.4,0,5.4,0,R_21_M,6.0
